,id,cluster_label
656,2007-10-22,5
657,2007-10-23,5
658,2007-10-24,4
659,2007-10-25,5
660,2007-10-26,4
661,2007-10-27,4
662,2007-10-28,5
663,2007-10-29,4
664,2007-10-30,5
665,2007-10-31,4
666,2007-11-01,4
667,2007-11-02,4
668,2007-11-03,5
669,2007-11-04,5
670,2007-11-05,5
671,2007-11-06,5
672,2007-11-07,0
673,2007-11-08,5
674,2007-11-09,4
675,2007-11-10,4
676,2007-11-11,5
677,2007-11-12,4
678,2007-11-13,4
679,2007-11-14,5
680,2007-11-15,5
681,2007-11-16,4
682,2007-11-17,5
683,2007-11-18,5
684,2007-11-19,5
685,2007-11-20,4
686,2007-11-21,1
687,2007-11-22,5
688,2007-11-23,4
689,2007-11-24,4
690,2007-11-25,5
691,2007-11-26,4
692,2007-11-27,4
693,2007-11-28,5
694,2007-11-29,5
695,2007-11-30,4
696,2007-12-01,4
697,2007-12-02,2
698,2007-12-03,5
699,2007-12-04,5
700,2007-12-05,4
701,2007-12-06,5
702,2007-12-07,4
703,2007-12-08,4
704,2007-12-09,2
705,2007-12-10,4
706,2007-12-11,4
707,2007-12-12,4
708,2007-12-13,4
709,2007-12-14,4
710,2007-12-15,2
711,2007-12-16,5
712,2007-12-17,4
713,2007-12-18,4
714,2007-12-19,4
715,2007-12-20,4
716,2007-12-21,5
717,2007-12-22,5
718,2007-12-23,4
719,2007-12-24,5
720,2007-12-25,4
721,2007-12-26,3
722,2007-12-27,4
723,2007-12-28,5
724,2007-12-29,5
725,2007-12-30,5
726,2007-12-31,5
727,2008-01-01,5
728,2008-01-02,5
729,2008-01-03,5
730,2008-01-04,5
731,2008-01-05,4
732,2008-01-06,5
733,2008-01-07,4
734,2008-01-08,5
735,2008-01-09,5
736,2008-01-10,5
737,2008-01-11,4
738,2008-01-12,5
739,2008-01-13,5
740,2008-01-14,4
741,2008-01-15,5
742,2008-01-16,4
743,2008-01-17,4
744,2008-01-18,2
745,2008-01-19,4
746,2008-01-20,2
747,2008-01-21,4
748,2008-01-22,4
749,2008-01-23,4
750,2008-01-24,4
751,2008-01-25,4
752,2008-01-26,4
753,2008-01-27,5
754,2008-01-28,4
755,2008-01-29,5
756,2008-01-30,5
757,2008-01-31,4
758,2008-02-01,4
759,2008-02-02,5
760,2008-02-03,1
761,2008-02-04,5
762,2008-02-05,5
763,2008-02-06,5
764,2008-02-07,4
765,2008-02-08,4
766,2008-02-09,4
767,2008-02-10,4
768,2008-02-11,5
769,2008-02-12,5
770,2008-02-13,4
771,2008-02-14,4
772,2008-02-15,4
773,2008-02-16,5
774,2008-02-17,4
775,2008-02-18,4
776,2008-02-19,4
777,2008-02-20,5
778,2008-02-21,4
779,2008-02-22,2
780,2008-02-23,4
781,2008-02-24,4
782,2008-02-25,5
783,2008-02-26,5
784,2008-02-27,2
785,2008-02-28,4
786,2008-02-29,4
787,2008-03-01,4
788,2008-03-02,4
789,2008-03-03,4
790,2008-03-04,5
791,2008-03-05,4
792,2008-03-06,2
793,2008-03-07,4
794,2008-03-08,4
795,2008-03-09,5
796,2008-03-10,4
797,2008-03-11,4
798,2008-03-12,5
799,2008-03-13,4
800,2008-03-14,4
801,2008-03-15,5
802,2008-03-16,5
803,2008-03-17,4
804,2008-03-18,5
805,2008-03-19,4
806,2008-03-20,1
807,2008-03-21,4
808,2008-03-22,4
809,2008-03-23,4
810,2008-03-24,5
811,2008-03-25,4
812,2008-03-26,4
813,2008-03-27,4
814,2008-03-28,4
815,2008-03-29,4
816,2008-03-30,3
817,2008-03-31,4
818,2008-04-01,4
819,2008-04-02,1
820,2008-04-03,4
821,2008-04-04,4
822,2008-04-05,4
823,2008-04-06,5
824,2008-04-07,3
825,2008-04-08,3
826,2008-04-09,4
827,2008-04-10,4
828,2008-04-11,4
829,2008-04-12,5
830,2008-04-13,3
831,2008-04-14,3
832,2008-04-15,5
833,2008-04-16,0
834,2008-04-17,3
835,2008-04-18,5
836,2008-04-19,0
837,2008-04-20,3
838,2008-04-21,3
839,2008-04-22,0
840,2008-04-23,3
841,2008-04-24,5
842,2008-04-25,3
843,2008-04-26,0
844,2008-04-27,2
845,2008-04-28,3
846,2008-04-29,3
847,2008-04-30,3
848,2008-05-01,3
849,2008-05-02,0
850,2008-05-03,0
851,2008-05-04,3
852,2008-05-05,3
853,2008-05-06,0
854,2008-05-07,0
855,2008-05-08,3
856,2008-05-09,0
857,2008-05-10,0
858,2008-05-11,3
859,2008-05-12,0
860,2008-05-13,3
861,2008-05-14,3
862,2008-05-15,3
863,2008-05-16,2
864,2008-05-17,3
865,2008-05-18,0
866,2008-05-19,3
867,2008-05-20,3
868,2008-05-21,0
869,2008-05-22,3
870,2008-05-23,0
871,2008-05-24,3
872,2008-05-25,3
873,2008-05-26,3
874,2008-05-27,3
875,2008-05-28,3
876,2008-05-29,3
877,2008-05-30,3
878,2008-05-31,3
879,2008-06-01,3
880,2008-06-02,3
881,2008-06-03,1
882,2008-06-04,0
883,2008-06-05,2
884,2008-06-06,0
885,2008-06-07,3
886,2008-06-08,3
887,2008-06-09,3
888,2008-06-10,0
889,2008-06-11,3
890,2008-06-12,2
891,2008-06-13,3
892,2008-06-14,3
893,2008-06-15,0
894,2008-06-16,0
895,2008-06-17,3
896,2008-06-18,3
897,2008-06-19,0
898,2008-06-20,0
899,2008-06-21,0
900,2008-06-22,0
901,2008-06-23,3
902,2008-06-24,0
903,2008-06-25,0
904,2008-06-26,0
905,2008-06-27,0
906,2008-06-28,0
907,2008-06-29,3
908,2008-06-30,0
909,2008-07-01,0
910,2008-07-02,0
911,2008-07-03,3
912,2008-07-04,0
913,2008-07-05,3
914,2008-07-06,3
915,2008-07-07,0
916,2008-07-08,0
917,2008-07-09,3
918,2008-07-10,0
919,2008-07-11,3
920,2008-07-12,0
921,2008-07-13,3
922,2008-07-14,0
923,2008-07-15,0
924,2008-07-16,3
925,2008-07-17,0
926,2008-07-18,3
927,2008-07-19,0
928,2008-07-20,0
929,2008-07-21,0
930,2008-07-22,3
931,2008-07-23,3
932,2008-07-24,0
933,2008-07-25,3
934,2008-07-26,0
935,2008-07-27,0
936,2008-07-28,0
937,2008-07-29,0
938,2008-07-30,3
939,2008-07-31,2
940,2008-08-01,0
941,2008-08-02,0
942,2008-08-03,0
943,2008-08-04,0
944,2008-08-05,3
945,2008-08-06,0
946,2008-08-07,0
947,2008-08-08,3
948,2008-08-09,0
949,2008-08-10,0
950,2008-08-11,3
951,2008-08-12,0
952,2008-08-13,0
953,2008-08-14,0
954,2008-08-15,0
955,2008-08-16,0
956,2008-08-17,0
957,2008-08-18,3
958,2008-08-19,3
959,2008-08-20,3
960,2008-08-21,1
961,2008-08-22,0
962,2008-08-23,3
963,2008-08-24,3
964,2008-08-25,3
965,2008-08-26,0
966,2008-08-27,0
967,2008-08-28,0
968,2008-08-29,3
969,2008-08-30,0
970,2008-08-31,0
971,2008-09-01,0
972,2008-09-02,3
973,2008-09-03,0
974,2008-09-04,2
975,2008-09-05,3
976,2008-09-06,5
977,2008-09-07,0
978,2008-09-08,0
979,2008-09-09,0
980,2008-09-10,3
981,2008-09-11,3
982,2008-09-12,3
983,2008-09-13,1
984,2008-09-14,0
985,2008-09-15,5
986,2008-09-16,3
987,2008-09-17,3
988,2008-09-18,3
989,2008-09-19,5
990,2008-09-20,5
991,2008-09-21,3
992,2008-09-22,1
993,2008-09-23,3
994,2008-09-24,3
995,2008-09-25,3
996,2008-09-26,4
997,2008-09-27,2
998,2008-09-28,2
999,2008-09-29,4
1000,2008-09-30,4
1001,2008-10-01,4
1002,2008-10-02,5
1003,2008-10-03,1
1004,2008-10-04,4
1005,2008-10-05,2
1006,2008-10-06,3
1007,2008-10-07,4
1008,2008-10-08,4
1009,2008-10-09,4
1010,2008-10-10,4
1011,2008-10-11,4
1012,2008-10-12,5
1013,2008-10-13,1
1014,2008-10-14,5
1015,2008-10-15,4
1016,2008-10-16,4
1017,2008-10-17,4
1018,2008-10-18,4
1019,2008-10-19,5
1020,2008-10-20,5
1021,2008-10-21,1
1022,2008-10-22,3
1023,2008-10-23,3
1024,2008-10-24,4
1025,2008-10-25,4
1026,2008-10-26,5
1027,2008-10-27,5
1028,2008-10-28,1
1029,2008-10-29,4
1030,2008-10-30,5
1031,2008-10-31,5
1032,2008-11-01,4
1033,2008-11-02,5
1034,2008-11-03,1
1035,2008-11-04,4
1036,2008-11-05,4
1037,2008-11-06,4
1038,2008-11-07,5
1039,2008-11-08,4
1040,2008-11-09,5
1041,2008-11-10,4
1042,2008-11-11,4
1043,2008-11-12,5
1044,2008-11-13,4
1045,2008-11-14,1
1046,2008-11-15,2
1047,2008-11-16,4
1048,2008-11-17,5
1049,2008-11-18,4
1050,2008-11-19,4
1051,2008-11-20,5
1052,2008-11-21,1
1053,2008-11-22,3
1054,2008-11-23,5
1055,2008-11-24,4
1056,2008-11-25,5
1057,2008-11-26,4
1058,2008-11-27,5
1059,2008-11-28,2
1060,2008-11-29,4
1061,2008-11-30,5
1062,2008-12-01,4
1063,2008-12-02,5
1064,2008-12-03,4
1065,2008-12-04,4
1066,2008-12-05,5
1067,2008-12-06,5
1068,2008-12-07,5
1069,2008-12-08,4
1070,2008-12-09,2
1071,2008-12-10,4
1072,2008-12-11,4
1073,2008-12-12,4
1074,2008-12-13,5
1075,2008-12-14,5
1076,2008-12-15,4
1077,2008-12-16,5
1078,2008-12-17,5
1079,2008-12-18,5
1080,2008-12-19,4
1081,2008-12-20,4
1082,2008-12-21,4
1083,2008-12-22,5
1084,2008-12-23,5
1085,2008-12-24,4
1086,2008-12-25,4
1087,2008-12-26,2
1088,2008-12-27,4
1089,2008-12-28,2
1090,2008-12-29,4
1091,2008-12-30,5
1092,2008-12-31,4
1093,2009-01-01,2
1094,2009-01-02,4
1095,2009-01-03,5
1096,2009-01-04,4
1097,2009-01-05,4
1098,2009-01-06,4
1099,2009-01-07,2
1100,2009-01-08,5
1101,2009-01-09,4
1102,2009-01-10,5
1103,2009-01-11,5
1104,2009-01-12,4
1105,2009-01-13,4
1106,2009-01-14,2
1107,2009-01-15,5
1108,2009-01-16,5
1109,2009-01-17,4
1110,2009-01-18,4
1111,2009-01-19,4
1112,2009-01-20,5
1113,2009-01-21,4
1114,2009-01-22,5
1115,2009-01-23,5
1116,2009-01-24,5
1117,2009-01-25,5
1118,2009-01-26,4
1119,2009-01-27,4
1120,2009-01-28,5
1121,2009-01-29,5
1122,2009-01-30,5
1123,2009-01-31,4
1124,2009-02-01,5
1125,2009-02-02,5
1126,2009-02-03,4
1127,2009-02-04,5
1128,2009-02-05,4
1129,2009-02-06,5
1130,2009-02-07,5
1131,2009-02-08,1
1132,2009-02-09,5
1133,2009-02-10,4
1134,2009-02-11,5
1135,2009-02-12,2
1136,2009-02-13,5
1137,2009-02-14,4
1138,2009-02-15,5
1139,2009-02-16,5
1140,2009-02-17,4
1141,2009-02-18,5
1142,2009-02-19,4
1143,2009-02-20,2
1144,2009-02-21,4
1145,2009-02-22,4
1146,2009-02-23,5
1147,2009-02-24,5
1148,2009-02-25,5
1149,2009-02-26,4
1150,2009-02-27,4
1151,2009-02-28,5
1152,2009-03-01,5
1153,2009-03-02,4
1154,2009-03-03,2
1155,2009-03-04,5
1156,2009-03-05,4
1157,2009-03-06,4
1158,2009-03-07,2
1159,2009-03-08,4
1160,2009-03-09,5
1161,2009-03-10,5
1162,2009-03-11,4
1163,2009-03-12,4
1164,2009-03-13,5
1165,2009-03-14,5
1166,2009-03-15,5
1167,2009-03-16,4
1168,2009-03-17,4
1169,2009-03-18,4
1170,2009-03-19,4
1171,2009-03-20,5
1172,2009-03-21,4
1173,2009-03-22,4
1174,2009-03-23,4
1175,2009-03-24,5
1176,2009-03-25,4
1177,2009-03-26,2
1178,2009-03-27,4
1179,2009-03-28,4
1180,2009-03-29,5
1181,2009-03-30,2
1182,2009-03-31,4
1183,2009-04-01,4
1184,2009-04-02,4
1185,2009-04-03,1
1186,2009-04-04,4
1187,2009-04-05,5
1188,2009-04-06,5
1189,2009-04-07,4
1190,2009-04-08,4
1191,2009-04-09,4
1192,2009-04-10,3
1193,2009-04-11,4
1194,2009-04-12,2
1195,2009-04-13,5
1196,2009-04-14,4
1197,2009-04-15,4
1198,2009-04-16,4
1199,2009-04-17,4
1200,2009-04-18,0
1201,2009-04-19,2
1202,2009-04-20,2
1203,2009-04-21,5
1204,2009-04-22,0
1205,2009-04-23,4
1206,2009-04-24,5
1207,2009-04-25,2
1208,2009-04-26,0
1209,2009-04-27,0
1210,2009-04-28,0
1211,2009-04-29,3
1212,2009-04-30,3
1213,2009-05-01,0
1214,2009-05-02,0
1215,2009-05-03,3
1216,2009-05-04,0
1217,2009-05-05,3
1218,2009-05-06,3
1219,2009-05-07,0
1220,2009-05-08,3
1221,2009-05-09,0
1222,2009-05-10,0
1223,2009-05-11,3
1224,2009-05-12,3
1225,2009-05-13,0
1226,2009-05-14,3
1227,2009-05-15,0
1228,2009-05-16,0
1229,2009-05-17,3
1230,2009-05-18,0
1231,2009-05-19,3
1232,2009-05-20,3
1233,2009-05-21,0
1234,2009-05-22,0
1235,2009-05-23,2
1236,2009-05-24,3
1237,2009-05-25,3
1238,2009-05-26,0
1239,2009-05-27,0
1240,2009-05-28,0
1241,2009-05-29,3
1242,2009-05-30,3
1243,2009-05-31,1
