date,load1,load2,load3,load4,load5,load6,load7,load8,load9,load10,load11,load12,load13,load14,load15,load16,load17,load18,load19,load20,load21,load22,load23,load24,temp1,temp2,temp3
2015-10-10,67620,64402,62322,60674,60304,60693,62591,65182,67030,69730,71672,72500,72897,72890,73121,73300,73872,74243,73998,74737,75913,73885,70761,66905,63.29999999999999,62.0,57.20000000000001
2015-10-11,63206,60463,58494,57324,56713,56930,58180,60205,62003,64931,67235,68717,69921,71557,73029,74511,76215,77918,78451,79443,80995,78131,74044,69462,68.2,66.1,64.2
2015-10-12,65227,62489,60671,59827,59938,62001,67237,73850,76287,78092,80320,82396,84085,85819,87136,87499,87987,87912,87577,88000,88101,84823,79835,73803,57.5,57.29999999999999,58.20000000000001
2015-10-13,68710,65313,63363,62149,62139,64059,69172,76105,78156,79012,80303,81609,82522,83484,84620,85227,85474,85299,84782,85388,85998,82683,77846,72106,54.4,53.0,54.4
2015-10-14,67283,64184,62448,61291,61477,63518,68742,75652,77468,77808,78463,79497,80141,81189,82617,83562,84124,84426,83908,84812,85420,82223,77372,71766,57.29999999999999,52.79999999999999,53.9
2015-10-15,66996,64184,62342,61404,61593,63537,68795,75773,77558,78109,79093,80269,81415,82663,84510,85542,85499,85585,84801,85566,86020,82894,78285,72983,51.1,46.4,53.1
2015-10-16,68135,65145,63222,62077,62111,64070,69037,75670,77814,78644,79667,80378,80716,81011,81518,81652,81418,80914,80066,80959,81424,78969,76053,71789,44.79999999999999,40.7,43.9
2015-10-17,67730,65164,63253,62157,61826,62653,64648,67558,69961,72414,73677,73575,72888,72114,71727,71138,70826,71036,71354,73874,75341,73924,71292,68304,46.79999999999999,41.3,43.5
2015-10-18,64990,62755,61437,60887,60750,61168,62662,65238,67300,69506,70131,69752,69393,69314,69130,68940,69228,70270,71567,74760,76884,74909,71597,67627,57.70000000000001,49.79999999999999,49.79999999999999
2015-10-19,64275,62249,61361,61165,61932,64536,70525,78056,80342,80406,80488,80579,80355,80236,80741,80136,80186,80377,80498,82910,83680,81039,76753,71428,65.0,64.3,59.29999999999999
2015-10-20,67145,64564,62905,62083,62217,64307,69596,76579,78694,78862,79574,80265,80902,81560,82206,82308,82068,82026,82135,84311,84777,81992,77803,72534,66.2,60.70000000000001,61.5
2015-10-21,67867,64993,63156,62340,62415,64497,69667,76859,79090,79266,80282,81239,82452,83759,85065,85276,85428,85344,84948,86640,86811,83860,79095,73633,61.20000000000001,61.70000000000001,66.6
2015-10-22,68872,65263,63465,62306,61973,63616,68275,73892,76882,77131,78089,79073,80169,81154,82499,82945,82851,82594,81731,83436,83953,81772,78325,73404,57.4,49.1,63.6
2015-10-23,68881,65801,63605,62644,62197,63580,67446,73484,76516,77255,78427,79507,79821,80352,80608,80286,79742,79260,79078,80222,79596,77587,74733,71237,63.79999999999999,58.9,66.7
2015-10-24,67400,64154,62145,60790,60113,60415,61686,63847,66694,69160,71504,72607,73050,72645,72010,71361,70909,70776,71321,73360,73378,71886,69613,66343,52.79999999999999,54.5,54.70000000000001
2015-10-25,63364,60881,58980,57119,56413,56453,57656,59816,61997,64270,65967,66821,67081,67277,66876,66556,66620,67368,69014,72832,74047,72267,69444,65780,52.20000000000001,47.29999999999999,52.4
2015-10-26,62989,61560,60591,60060,60120,62083,66550,73825,77538,77581,78054,78242,78076,78024,77666,76745,76110,76026,76836,80148,80333,78353,74595,70033,54.70000000000001,51.1,52.6
2015-10-27,66122,63459,62352,61429,61387,62571,66644,73495,77184,77090,77692,77954,78073,77836,77645,77179,76759,77115,78385,80900,80856,78656,74797,70465,53.79999999999999,55.70000000000001,56.20000000000001
2015-10-28,66581,64109,62350,61350,61053,62375,66289,72885,76483,76659,77455,78187,78404,78685,79158,78954,78893,79272,79661,81424,81524,79484,76098,71526,42.2,46.6,45.29999999999999
2015-10-29,67128,64320,62473,61713,61733,63360,68021,75049,78288,78184,78564,78931,78847,78593,78771,78607,78384,78441,79023,81054,81418,79505,76055,71412,46.9,47.29999999999999,46.29999999999999
2015-10-30,67814,65580,63716,62776,62810,63830,68441,74952,78604,78797,78919,78939,78549,78026,77930,77290,76707,76118,76194,77858,77538,76163,73473,69862,48.79999999999999,48.29999999999999,48.4
2015-10-31,66116,63378,61955,60872,60504,60589,61796,64304,67300,69614,71855,73033,73227,72603,71814,71182,70628,70439,70338,71283,71096,70062,68139,65660,54.70000000000001,54.5,56.20000000000001
2015-11-01,62637,60125,58248,57060,56488,56443,57016,58588,60842,62942,64969,65949,66214,66265,66326,66188,65962,66388,68228,72857,73972,72852,70315,67233,60.29999999999999,53.20000000000001,56.1
2015-11-02,60847,59236,58291,58012,58511,60714,66167,72456,74782,75821,76696,77201,77422,77595,77671,77366,76801,77282,80644,81592,79812,76846,72960,68261,60.97083333333333,63.24166666666665,58.76666666666667
2015-11-03,64393,61829,60556,59946,60294,62134,66952,72938,75020,75803,76803,77371,78056,78339,78634,78206,77496,77719,81056,81834,80119,77515,73273,68506,60.52083333333332,62.0625,62.76250000000001
2015-11-04,64507,61889,60311,59472,59553,61251,66107,72170,74447,75609,76906,77958,78639,79249,79847,79840,79290,79818,82791,83193,81204,78237,74277,69391,65.19166666666666,65.64166666666667,66.25833333333334
2015-11-05,65143,62344,60625,59726,59718,61525,66386,72791,75407,76768,78076,79368,80364,81097,81660,81522,80971,81885,84314,84474,82680,80100,76107,71788,55.408333333333324,61.42083333333333,60.179166666666674
2015-11-06,67763,64936,63074,62112,61804,62962,67367,73326,75863,76979,78181,78850,79116,79063,79205,78404,77723,78225,80560,80024,78474,76247,73328,69725,46.29999999999999,47.76666666666667,48.01250000000001
2015-11-07,65917,63439,61452,60476,60248,61101,63226,65643,67643,69784,71002,71096,70729,69863,69058,68431,68176,69852,73880,74318,73168,71602,69398,66382,44.0875,40.17083333333334,43.75000000000001
2015-11-08,64405,62737,61354,60640,60611,60788,61756,63543,65365,67232,67706,67308,66985,66695,66018,65549,65891,68462,73930,75300,74713,72756,70052,66980,46.21666666666667,41.92916666666667,44.949999999999996
2015-11-09,64700,63389,62734,62656,63184,65013,70573,77186,79250,78918,78299,77939,77399,76833,76548,75854,75707,77010,80921,81942,80683,78598,75066,70944,49.01666666666666,44.93333333333333,46.14166666666667
